318;P;MARCHETTI;Genoa;1
2761;P;VODISEK;Genoa;1
248;P;BERNI;Inter;1
543;P;PADELLI;Inter;1
218;P;PERIN;Juventus;1
1930;P;PINSOGLIO;Juventus;1
317;P;GUERRIERI;Lazio;1
2770;P;PROTO;Lazio;1
4468;P;BLEVE;Lecce;1
2809;P;VIGORITO;Lecce;1
216;P;DONNARUMMA AN;Milan;1
387;P;REINA;Milan;1
570;P;KARNEZIS;Napoli;1
412;P;COLOMBI;Parma;1
2781;P;FUZATO;Roma;1
41;P;MIRANTE;Roma;1
2836;P;OLSEN;Cagliari;1
2134;P;FALCONE;Sampdoria;1
510;P;PEGOLO;Sassuolo;1
4485;P;THIAM D;SPAL;1
2790;P;ROSATI;Torino;1
2270;P;ZACCAGNO;Torino;1
2271;P;NICOLAS;Udinese;1
673;P;PERISAN;Udinese;1
4491;P;BERARDI A;Verona;1
3;P;RADUNOVIC;Verona;1
654;P;ALASTRA;Parma;1
4518;P;RUSSO A;Sassuolo;1
4520;P;LETICA;SPAL;1
4523;P;AVOGADRI;Sampdoria;1
97;P;SECULIN;Sampdoria;1
220;P;UJKANI;Torino;1
4432;D;OKOLI;Atalanta;1
4365;D;CORBO;Bologna;1
2747;D;PAZ;Bologna;1
4504;D;MANGRAVITI;Brescia;1
4378;D;RANIERI L;Fiorentina;1
4375;D;TERZIC;Fiorentina;1
4391;D;CASASOLA;Lazio;1
4502;D;GALLO;Lecce;1
4473;D;RICCARDI D;Lecce;1
4401;D;GABBIA;Milan;1
2783;D;BIANDA;Roma;1
4481;D;BOUAH;Roma;1
2724;D;BUONGIORNO;Torino;1
457;D;CRESCENZI;Verona;1
4509;D;CIPRIANO;Lazio;1
4528;D;GASOLINA WESLEY;Verona;1
4435;C;COLLEY E;Atalanta;1
4451;C;VIVIANI M;Brescia;1
4353;C;MONTIEL;Fiorentina;1
4459;C;ROVELLA;Genoa;1
4383;C;ZENNARO;Genoa;1
